Hostname,Target,Sample Date YMD,Sample Time HHMM,Count in seconds,Incoming traffic in bps (avg day),Outgoing traffic in bps (avg day),Peak inbound traffic in bps,Peak outbound traffic in bps
sites,GigabitEthernet1/0,1/30/2021,1:00,1611964800,7888128.4,3241604.1,81795946.6,30241234.2
sites,GigabitEthernet1/0,1/31/2021,1:00,1612051200,826155.4,48049136.2,5817697.4,101983988
sites,GigabitEthernet1/0,2/1/2021,1:00,1612137600,214501,5774304.3,1989959.3,79700957.1
sites,GigabitEthernet1/0,2/2/2021,1:00,1612224000,5286523.7,2729142,53797505.8,70175458.5
sites,GigabitEthernet1/0,2/3/2021,1:00,1612310400,5624819.5,2255491.9,105907077.5,13474945.4
sites,GigabitEthernet1/0,2/4/2021,1:00,1612396800,7944651.4,2857284.9,107958624.6,13377112.1
sites,GigabitEthernet1/0,2/5/2021,1:00,1612483200,10028924.6,3077236.9,91317145.8,21682206.3
sites,GigabitEthernet1/0,2/6/2021,1:00,1612569600,5994508.1,3093322.6,54058776.1,23658251.6
sites,GigabitEthernet1/0,2/7/2021,1:00,1612656000,313657,3514041.2,5864027.9,98426305.1
sites,GigabitEthernet1/0,2/8/2021,1:00,1612742400,98994.5,103452.4,765806.4,5346633.4
sites,GigabitEthernet1/0,2/9/2021,1:00,1612828800,13609699.8,2334957.2,98653646.2,18791447.4
sites,GigabitEthernet1/0,2/10/2021,1:00,1612915200,4889672.4,4933326,72063074.8,40695579.7
sites,GigabitEthernet1/0,2/11/2021,1:00,1613001600,4728267.8,1606286,80702619.8,73051133
sites,GigabitEthernet1/0,2/12/2021,1:00,1613088000,11081474.3,3558583.7,71336026.8,49809997.1
sites,GigabitEthernet1/0,2/13/2021,1:00,1613174400,9275553.1,3324619.3,68718042.5,55382123.2
sites,GigabitEthernet1/0,2/14/2021,1:00,1613260800,292066,2560887.6,5929620.9,82515870.2
sites,GigabitEthernet1/0,2/15/2021,1:00,1613347200,89683,81292.9,719019.8,1295816.3
sites,GigabitEthernet1/0,2/16/2021,1:00,1613433600,8932937.1,2028764.7,67912003.3,23700015.7
sites,GigabitEthernet1/0,2/17/2021,1:00,1613520000,8196054.2,22597545.6,86742634.3,99569459.2
sites,GigabitEthernet1/0,2/18/2021,1:00,1613606400,4508297.2,1219923.3,33632046.2,10714484.7
sites,GigabitEthernet1/0,2/19/2021,1:00,1613692800,40508162.7,12472023.4,109948700.8,106596169.9
sites,GigabitEthernet1/0,2/20/2021,1:00,1613779200,19149442.8,811968.1,109882991.9,7914839.3
sites,GigabitEthernet1/0,2/21/2021,1:00,1613865600,374601.8,10600808.8,5834250.7,106158718.3
sites,GigabitEthernet1/0,2/22/2021,1:00,1613952000,81897.7,69967.2,720929.2,753514
sites,GigabitEthernet1/0,2/23/2021,1:00,1614038400,6684494.6,1758878.6,76004694.3,30166951.4
sites,GigabitEthernet1/0,2/24/2021,1:00,1614124800,27326054.7,3589349.3,109503210.4,100753443
sites,GigabitEthernet1/0,2/25/2021,1:00,1614211200,4975014,1064816.9,59601853.2,19054607.7
sites,GigabitEthernet1/0,2/26/2021,1:00,1614297600,27935638.2,4498408.9,99349802.8,100257364.7
sites,GigabitEthernet1/0,2/27/2021,1:00,1614384000,7731568,550243.5,100126868.5,4081532
sites,GigabitEthernet1/0,2/28/2021,1:00,1614470400,274719.9,1255831.7,5857329.8,53831263.2
sites,GigabitEthernet1/0,3/1/2021,1:00,1614556800,72829,72474.4,691204.7,747061.8
sites,GigabitEthernet1/0,3/2/2021,1:00,1614643200,6403914.9,1136526.2,78914440.2,6797708.4
sites,GigabitEthernet1/0,3/3/2021,1:00,1614729600,6849569.6,37020885.9,70156391.3,106841289.9
sites,GigabitEthernet1/0,3/4/2021,1:00,1614816000,8650012.1,5411920.8,109257969.7,105636478.8
sites,GigabitEthernet1/0,3/5/2021,1:00,1614902400,7004443.4,1431465.9,107030573.2,15719195.5
sites,GigabitEthernet1/0,3/6/2021,1:00,1614988800,3233601.1,2060456,33236878.2,63526948.3
sites,GigabitEthernet1/0,3/7/2021,1:00,1615075200,249702.3,1811290.7,5713279.6,64674105.1
sites,GigabitEthernet1/0,3/8/2021,1:00,1615161600,90501.4,103562.1,975405.7,4136686.8
sites,GigabitEthernet1/0,3/9/2021,1:00,1615248000,5375389.9,1698519.3,107977142.3,17379781.7
sites,GigabitEthernet1/0,3/10/2021,1:00,1615334400,6327194.9,1909295.7,62555328.6,12464528.6
sites,GigabitEthernet1/0,3/11/2021,1:00,1615420800,4038896.7,1402317.5,64555779.1,14902369.7
sites,GigabitEthernet1/0,3/12/2021,1:00,1615507200,26950562.5,2759924.5,109760808.5,37753214.8
sites,GigabitEthernet1/0,3/13/2021,1:00,1615593600,25539168.9,2719069.6,109746980.9,27636741.4
sites,GigabitEthernet1/0,3/14/2021,1:00,1615680000,249010.5,1670941.4,5890173,69814240.8
sites,GigabitEthernet1/0,3/15/2021,1:00,1615766400,93760.4,92551,752447,754793.3
sites,GigabitEthernet1/0,3/16/2021,1:00,1615852800,6927983.2,1109320.2,82744992.2,11381839.8
sites,GigabitEthernet1/0,3/17/2021,1:00,1615939200,25487763.4,2159685.3,109530888.3,13934613.3
sites,GigabitEthernet1/0,3/18/2021,1:00,1616025600,6850468,3458944.7,86160249.2,56376735.6
sites,GigabitEthernet1/0,3/19/2021,1:00,1616112000,6791084.4,1609266.7,40973045.5,13018749.7
sites,GigabitEthernet1/0,3/20/2021,1:00,1616198400,24456066.3,2471028.8,109858224.6,71367353.8
sites,GigabitEthernet1/0,3/21/2021,1:00,1616284800,251856.4,2094625.4,5919594.3,64588835
sites,GigabitEthernet1/0,3/22/2021,1:00,1616371200,100405.3,881826.4,885376.4,9333482.9
sites,GigabitEthernet1/0,3/23/2021,1:00,1616457600,6601660.6,2319631.1,76470326.2,18909050.4
sites,GigabitEthernet1/0,3/24/2021,1:00,1616544000,11661348,2031242.2,109729120.2,18003235.6
sites,GigabitEthernet1/0,3/25/2021,1:00,1616630400,8059807.2,2020841.8,55075556.1,25319766.8
sites,GigabitEthernet1/0,3/26/2021,1:00,1616716800,8214265.3,1956656.5,75205397.9,17213408.6
sites,GigabitEthernet1/0,3/27/2021,1:00,1616803200,8999988.1,980370.6,109592723.5,13690875.7
sites,GigabitEthernet1/0,3/28/2021,1:00,1616889600,2251905.1,1715706.9,8418927.9,66489217.7
sites,GigabitEthernet1/0,3/29/2021,2:00,1616976000,2459351.1,239496.8,3242660.3,2059843
sites,GigabitEthernet1/0,3/30/2021,2:00,1617062400,7183451.3,18263440.6,50680978.9,105142913.5
sites,GigabitEthernet1/0,3/31/2021,2:00,1617148800,69478643.8,4851075.7,109759714.8,34390915.8
sites,GigabitEthernet1/0,4/1/2021,2:00,1617235200,6426873.5,10781863.6,97494597.3,104577925.1
sites,GigabitEthernet1/0,4/2/2021,2:00,1617321600,5960960.5,2814475.5,36140509.1,94912988.1
sites,GigabitEthernet1/0,4/3/2021,2:00,1617408000,12890557.8,1905928.3,81671979.7,19728239.6
sites,GigabitEthernet1/0,4/4/2021,2:00,1617494400,235295.7,2957940.9,5913614.8,73731728.6
sites,GigabitEthernet1/0,4/5/2021,2:00,1617580800,104794.7,163214.1,724802,5198215.2
sites,GigabitEthernet1/0,4/6/2021,2:00,1617667200,161600.4,1377088.8,5402318.3,37378603.4
sites,GigabitEthernet1/0,4/7/2021,2:00,1617753600,4671818.1,1293530.1,94350361.7,9829066.9
sites,GigabitEthernet1/0,4/8/2021,2:00,1617840000,3835874.7,2195579.7,85971818.3,10976394.8
sites,GigabitEthernet1/0,4/9/2021,2:00,1617926400,4714736.2,1942946.5,49579263.9,13488551
sites,GigabitEthernet1/0,4/10/2021,2:00,1618012800,6444407.4,1515167.8,102324116.5,9954594.6
sites,GigabitEthernet1/0,4/11/2021,2:00,1618099200,226414.3,1445279.8,5936233.8,67909864.6
sites,GigabitEthernet1/0,4/12/2021,2:00,1618185600,78412.2,206334.1,708688.3,23541657.2
sites,GigabitEthernet1/0,4/13/2021,2:00,1618272000,2538316.9,970034,31044386.7,12247548.2
sites,GigabitEthernet1/0,4/14/2021,2:00,1618358400,18789900.2,15478419.9,105966581.5,101316363.2
sites,GigabitEthernet1/0,4/15/2021,2:00,1618444800,5341895.3,14473451.5,38750519.5,101034258.3
sites,GigabitEthernet1/0,4/16/2021,2:00,1618531200,14781825,3861612.7,109089179.1,58398557.9
sites,GigabitEthernet1/0,4/17/2021,2:00,1618617600,2620420.4,1368030.2,36347064.1,35148621
sites,GigabitEthernet1/0,4/18/2021,2:00,1618704000,242616,1696723.7,5903554.6,54806214.1
sites,GigabitEthernet1/0,4/19/2021,2:00,1618790400,218776.3,1076453.5,25379998.9,3636445.2
sites,GigabitEthernet1/0,4/20/2021,2:00,1618876800,3984102.8,718468.3,71840440.9,31035702.3
sites,GigabitEthernet1/0,4/21/2021,2:00,1618963200,6882255.4,1977056.9,68367631.1,19940230.8
sites,GigabitEthernet1/0,4/22/2021,2:00,1619049600,23683894.2,2726213.9,109506136.2,57889582.4
sites,GigabitEthernet1/0,4/23/2021,2:00,1619136000,4526479.1,1008818.6,52695024.5,86750323.6
sites,GigabitEthernet1/0,4/24/2021,2:00,1619222400,13848074.6,1134800.4,109627680.8,7284048.9
sites,GigabitEthernet1/0,4/25/2021,2:00,1619308800,319657.1,1913975.9,5983627.2,81995918.3
sites,GigabitEthernet1/0,4/26/2021,2:00,1619395200,191496.3,365616.4,1215598.7,17120060.1
sites,GigabitEthernet1/0,4/27/2021,2:00,1619481600,6023455.3,1497809.9,49592736.8,10125715.7
sites,GigabitEthernet1/0,4/28/2021,2:00,1619568000,8026791.8,2571225.4,96895353,15018835.9
sites,GigabitEthernet1/0,4/29/2021,2:00,1619654400,7436919.7,2457316.8,95432836.4,78311139.4
sites,GigabitEthernet1/0,4/30/2021,2:00,1619740800,7966964.8,3670163.4,107734875.8,58289277.7
sites,GigabitEthernet1/0,5/1/2021,2:00,1619827200,6018374,3984787.6,106666930.3,18157001.5
sites,GigabitEthernet1/0,5/2/2021,2:00,1619913600,1875598.6,26505866.7,7340232.4,102431872.8
sites,GigabitEthernet1/0,5/3/2021,2:00,1620000000,1251710.7,159285.9,3980128.6,5431915.6
sites,GigabitEthernet1/0,5/4/2021,2:00,1620086400,7771281.7,3837655.7,107374117.5,43005599.5
sites,GigabitEthernet1/0,5/5/2021,2:00,1620172800,25069471.7,2991153.2,109956047,21701203.9
sites,GigabitEthernet1/0,5/6/2021,2:00,1620259200,7850869.3,2867454.3,77397031.7,47322944.7
sites,GigabitEthernet1/0,5/7/2021,2:00,1620345600,19339240.6,3250018.8,104409915.3,63691259.8
sites,GigabitEthernet1/0,5/8/2021,2:00,1620432000,5353954.5,1957383.5,26354846.6,12877785.7
sites,GigabitEthernet1/0,5/9/2021,2:00,1620518400,1206885.6,8405200.9,7373013.7,106317481.8
sites,GigabitEthernet1/0,5/10/2021,2:00,1620604800,130032.3,488287,1544020.6,30958269.2
