"code","label","value"
"NA.73","CNRS",1673.04
"NA.73","UM",255.23
"NA.74","CNRS",467.12
"NA.74","IRD",164.8
"NA.74","UM",219.71
"NA.75","CNRS",170.52
"NA.75","IRD",117.9
"NA.75","UM",358.36
"NA.76","CNRS",3209.66
"NA.77","CNRS",101.06
"NA.77","UM",780.43
"NA.78","CNRS",6918.98
"NA.79","CNRS",1495.44
"NA.81","CNRS",115.8
"NA.81","IFREMER",510.38
"NA.81","IRD",450
"NA.83","CNRS",3325.44
"NA.83","UM",528.85
"NA.84","CNRS",3994.86
"NA.85","CNRS",2043.76
"NA.85","IRD",13341.9465925389
"NA.85","UM",1054.64
"NB.01","CNRS",4810.08
"NB.01","IFREMER",1590.41
"NB.01","IRD",17488.77
"NB.01","UM",1132
"NB.02","CNRS",5181.12
"NB.02","UM",1305.26
"NB.03","CNRS",1274.22
"NB.03","IFREMER",2219.01
"NB.03","UM",247.25
"NB.04","CNRS",1235.76
"NB.04","IFREMER",39.5
"NB.04","UM",37.74
"NB.05","CNRS",180.44
"NB.05","UM",528.35
"NB.11","CNRS",6687.3
"NB.11","IFREMER",3517.03
"NB.11","IRD",606.545469744221
"NB.11","UM",3261.51
"NB.12","CNRS",2080.12
"NB.12","IFREMER",334.52
"NB.12","IRD",661.35
"NB.12","UM",245.83
"NB.13","CNRS",5599.42
"NB.13","IFREMER",3650.46
"NB.13","UM",1099.81
"NB.14","CNRS",2242.08
"NB.14","IFREMER",617.81
"NB.14","UM",290.39
"NB.15","CNRS",1681.26
"NB.15","IFREMER",2779.82
"NB.15","UM",176.22
"NB.16","CNRS",150.24
"NB.16","UM",94.59
"NB.17","CNRS",1981.4
"NB.17","IFREMER",632.04
"NB.17","IRD",1797.03
"NB.17","UM",2132.9
"NB.21","CNRS",9425.84
"NB.21","IFREMER",1085.5
"NB.21","UM",2065.67
"NB.22","CNRS",1526.26
"NB.22","IFREMER",259.59
"NB.23","CNRS",2903.44
"NB.23","IRD",320.17
"NB.23","UM",4480.7
"NB.24","CNRS",11663.88
"NB.24","IFREMER",509.62
"NB.24","IRD",78.5
"NB.24","UM",275.45
"NB.33","IFREMER",289.9
"NB.34","IFREMER",161.18
"NB.35","CNRS",2009.04
"NB.35","IFREMER",1317.42
"NB.35","IRD",68.3638024857303
"NB.35","UM",3294.27
"NB.43","CNRS",834.38
"NB.43","IFREMER",500.1
"NB.43","UM",85.54
"NB.45","IRD",2.56627197023357
"NB.45","UM",103.78
"NB.51","CNRS",4376.78
"NB.51","IFREMER",5687.75
"NB.51","UM",3431.22
"NB.61","CNRS",2525.88
"NB.61","UM",141.72
"NB.62","IRD",31
"NB.71","IFREMER",2409
"NB.71","IRD",205
"NB.73","CNRS",82.46
"NB.73","UM",3312.23
"NB.74","CNRS",1524
"NB.75","IRD",2150
"NB.75","UM",1645
"NB.76","IFREMER",12744.93
"NB.77","CNRS",495.36
"NB.77","IFREMER",488.4
"NB.78","CNRS",6840.46
"NB.78","IFREMER",662.43
"NB.79","CNRS",1492.94
"NB.79","IRD",215.15
"NB.79","UM",62.79
"NB.81","CNRS",1990
"NB.82","IRD",1986.7
"NB.83","IRD",29.5751093440575
"NB.83","UM",8825.2
"NB.84","CNRS",894.42
"NB.84","IFREMER",5870.66
"NB.84","IRD",3400
"NB.84","UM",1449.16
"NB.86","CNRS",1102
"NB.87","IFREMER",46794.21
"NB.87","IRD",540.880381922999
"NC.02","IRD",350.265740024666
"NC.03","IRD",549.9
"NC.07","UM",1986.36
"NC.16","IFREMER",1007
"NC.16","IRD",1947
"NC.51","CNRS",1036
"NC.54","CNRS",752.64
"NC.55","CNRS",5671.14
"NC.55","UM",384.76
"NC.56","CNRS",2664
"NC.56","UM",887
"NC.71","CNRS",13120
"NC.74","UM",354
"ND.01","CNRS",260
"ND.01","UM",1923.81
"ND.03","CNRS",2560
"ND.03","UM",702.8
"ND.04","UM",959.8
"ND.05","UM",805.21
"ND.11","IFREMER",2293
"ND.11","UM",526
"ND.13","CNRS",5935.16
"ND.14","CNRS",13161.56
"ND.14","IFREMER",1709.9
"ND.14","IRD",894
"ND.14","UM",922
"ND.52","CNRS",1638.4
"ND.52","UM",1655
"ND.53","UM",306
"ND.55","IRD",3042
"NE.01","CNRS",1678.8
"NE.01","IFREMER",2733.99
"NE.01","IRD",3465.96960010241
"NE.01","UM",1030
"NE.02","CNRS",76631.88
"NE.02","IFREMER",69859.56
"NE.02","IRD",6941.29607828142
"NE.02","UM",718063.24
"NE.04","CNRS",6636.8
"NE.04","IFREMER",143.7
"NE.04","UM",17800.88
"NE.11","IRD",5465
"NE.21","IRD",3513.97811012513
"NE.22","CNRS",16858.4
"NE.22","IRD",5571.70239166601
"NE.22","UM",2994
"NE.23","IFREMER",1600
"NE.23","UM",3920
"NE.25","IFREMER",78.19
"OA.11","IRD",934.889606642466
"OA.12","IFREMER",48.06
"OA.45","IRD",274.99
"PB.12","CNRS",467.04
"PB.12","IFREMER",1585.13
"PB.12","UM",23540.75
"PB.13","UM",720
"PB.34","UM",12201
"PC.31","UM",699
"QA.04","IFREMER",77.46
"QB.01","IFREMER",735.74
"RA.16","IRD",300
"RA.18","CNRS",1063.34
"RA.19","UM",854.97
"RA.21","IFREMER",197.77
"RA.21","UM",1340.53
"RA.22","IFREMER",1616.94
"RA.22","IRD",179.227656812849
"RA.23","CNRS",1026.74
"RA.23","IFREMER",445.7
"RC.03","IRD",3320.1
"RD.01","IFREMER",1000
"RD.02","CNRS",1252
"RD.02","IFREMER",590
"RD.02","IRD",297.6
"SB.24","UM",1488.79877501647
"SB.51","CNRS",3230
"SB.52","CNRS",266.2
"SB.52","IFREMER",1401.8
"SB.52","IRD",951
"SG.43","CNRS",4416
"SH.11","CNRS",2207.6
"SH.44","IFREMER",1650
"TA.01","CNRS",988.2
"TA.01","IFREMER",2373.18
"TA.01","IRD",2006.79
"TA.22","IRD",23.41
"TB.03","IFREMER",83606.26
"TB.03","UM",874
"TB.05","CNRS",9000
"TB.11","IRD",89.5156798360161
"TB.12","CNRS",26.62
"TB.12","IFREMER",1635.75
"TB.12","IRD",925.7
"TB.13","CNRS",267.62
"TB.13","IRD",131.57
"TC.11","IRD",4617
"UA.01","UM",204448
"UA.13","IFREMER",302.22
"UA.14","IFREMER",64.34
"UA.14","IRD",17.9101802158024
"UA.16","IFREMER",13.39
"UA.34","CNRS",2000
"UA.37","CNRS",8742.8
"UA.41","UM",74.17
"UA.51","IRD",882.11
"UA.51","UM",733.08
"UA.52","CNRS",9468.84
"UA.52","IRD",1111.08
"UA.52","UM",18828.01
"UA.53","UM",1701.78
"UB.02","IFREMER",1075
"UB.13","IRD",104.99
"UB.21","UM",770
"UC.12","IRD",24612.1
"UC.13","IRD",1317.35
"UC.15","IRD",166.66
"UC.15","UM",1050
"UC.21","CNRS",504
"UC.24","IFREMER",450
"UC.24","IRD",8059.95667398928
"UC.25","IRD",705.14
"UC.25","UM",182.49
"UC.31","UM",64989.74
"UC.33","CNRS",288.98
"UC.33","IRD",952.92
"UC.42","CNRS",7800
"UD.01","UM",370
"UG.13","IRD",185.108142115208
"UH.01","IRD",386.92
"UH.02","IFREMER",1918.55
"UH.03","IFREMER",31008
"UH.12","IRD",929
"UH.14","IRD",9000
"UH.14","UM",63383.33
"VA.01","IFREMER",1464.14
"VA.01","IRD",693.800274881507
"VA.03","IFREMER",51.43
"VA.21","CNRS",404.6
"VA.22","UM",280
"VC.01","UM",1800
"XA.01","IRD",26537.27
"XA.02","IRD",36805.530669739
"XA.22","IRD",3614.86194979243
"XB.14","IRD",4822.6
"XC.01","CNRS",13058.48
"XC.01","IFREMER",5620.05
"XC.01","IRD",12758.6026492554
"XC.01","UM",3230.24
"XC.02","IFREMER",855
"XC.02","IRD",566.5
"XC.02","UM",276
"XC.13","IRD",5262.16537589775
"XC.14","CNRS",13500.66
"XC.14","IFREMER",7727.22
"XC.14","IRD",1250
"XC.14","UM",11372.377010956
"XC.17","UM",1410
"XC.21","IRD",4200
"XC.21","UM",41292
"XC.26","CNRS",2000
"XC.26","UM",800
"XC.27","IFREMER",4000
"XC.32","UM",2185.95
"XD.06","IRD",131032.45
"XD.25","CNRS",1200
"XD.31","IRD",31795.8
"XD.32","IRD",51336.6
"XD.32","UM",48594.6
"XD.41","IRD",2380.50619171683
"XD.46","IRD",700
"XD.47","IFREMER",3066
"XD.56","UM",3027.19
"XD.61","CNRS",4069.46
"XD.61","IRD",895.300148099846
"XD.62","IFREMER",1861.7
"XD.62","IRD",1823.31934440411
"XD.63","IRD",701.16720498185
"XF.01","CNRS",77242.12
